t,N45,N32,N35,N36
0,0,0.118343195266225,0.118343195266225,0.355029585798696
15,33.8461538461538,43.7869822485207,35.6213017751478,51.9526627218934
30,48.4023668639052,64.2603550295858,55.9763313609467,69.1124260355029
45,59.1715976331361,73.7278106508876,62.7218934911243,77.869822485207
60,68.284023668639,80.828402366864,70.0591715976331,84.2603550295858
75,72.7810650887573,82.1301775147929,72.6627218934911,88.5207100591716
90,77.0414201183432,85.5621301775149,75.2662721893491,92.3076923076923
105,80.3550295857988,88.1656804733728,77.9881656804734,95.3846153846154
120,83.7869822485207,90.2958579881657,78.1065088757396,97.2781065088758
150,86.98224852071,90.7692307692308,80.5917159763314,97.7514792899409
180,88.9940828402367,90.414201183432,80.828402366864,97.6331360946746
210,89.8224852071006,92.1893491124261,80.4733727810651,98.3431952662722
